date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:33	81/81	---M--	200	added ('OK')	text/plain	etag:%2254d2445c77eadb1:0%22	https://www.beginnings.com/robots.txt		(from )
08:53:34	65407/65407	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:34%20GMT	https://www.beginnings.com/	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/index.html	(from )
08:53:34	89949/89949	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Jul%202025%2007:14:41%20GMT	https://www.beginnings.com/ScriptResource.axd?d=ktXPS54N4JY6vbaCTPlT9aXt1CmBjqEnINvLAb2MsT2JLBdVev2WdEv8uAgcVDi1ALSxWDNg8r212m59PwzOJ3V8qVZpxGRjFUfPq2G4N8aaJr1MPDm5PI7h8QNK-TrmFORBUZyJ89pszk2doDZOEL8TXCJSRBTVl29RhTRWRh5b1L7QRV_d509UUrSELKzU0&t=760f9f32	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/ScriptResource0887.js	(from https://www.beginnings.com/)
08:53:34	17011/17011	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Jul%202025%2007:14:41%20GMT	https://www.beginnings.com/ScriptResource.axd?d=ePnjFy9PuY6CB3GWMX-b_9s7VFRee0TTJ1aCwQA0zVGzdbrWWzMSpKkUOLXDRuSvB4EkfHh0TofWiux5xVkjISc27NN29vaoBjipoyzv-67ZryNukoRwRJykXveUm6PJd6jphqax4v-N9KVoOTENfgyIw4fAwy6ZaJwI0x2E0gbykwSABdH8i49NnOl84rPH0&t=760f9f32	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/ScriptResource9714.js	(from https://www.beginnings.com/)
08:53:34	91056/91056	---M-Z	200	added ('OK')	text/css	etag:%220477ad8ceadb1:0%22	https://www.beginnings.com/ResourcePackages/Custom/assets/css/main.css?v=07012025	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/ResourcePackages/Custom/assets/css/main7c49.css	(from https://www.beginnings.com/)
08:53:35	5805/5805	---M--	200	added ('OK')	image/png	etag:%2293582f816aedb1:0%22	https://www.beginnings.com/favicon/favicon-96x96.png	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/favicon/favicon-96x96.png	(from https://www.beginnings.com/)
08:53:35	52979/52979	---M--	200	added ('OK')	image/svg+xml	etag:%22556fc2f816aedb1:0%22	https://www.beginnings.com/favicon/favicon.svg	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/favicon/favicon.svg	(from https://www.beginnings.com/)
08:53:35	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%224c39b1f816aedb1:0%22	https://www.beginnings.com/favicon/favicon.ico	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/favicon/favicon.ico	(from https://www.beginnings.com/)
08:53:35	10524/10524	---M--	200	added ('OK')	image/png	etag:%2238bd84f816aedb1:0%22	https://www.beginnings.com/favicon/apple-touch-icon.png	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/favicon/apple-touch-icon.png	(from https://www.beginnings.com/)
08:53:35	452/452	---M--	200	added ('OK')	application/manifest+json	etag:%22bf4bd8f816aedb1:0%22	https://www.beginnings.com/favicon/site.webmanifest	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/favicon/site.webmanifest	(from https://www.beginnings.com/)
08:53:36	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2031%20Jul%202025%2015:53:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/GitHub/tuangiang1995.github.io/Beginnings/www.googletagmanager.com/gtm.85445.delayed	(from https://www.beginnings.com/)
08:53:36	6972/6972	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Apr%202025%2015:51:06%20GMT	https://www.beginnings.com/images/default-source/new-branding/beg_logo_horiz_white.svg?sfvrsn=fabc9b01_1	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/images/default-source/new-branding/beg_logo_horiz_whitedead.svg	(from https://www.beginnings.com/)
08:53:36	74877/74877	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:37%20GMT	https://www.beginnings.com/personal/deposit-accounts	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts.html	(from https://www.beginnings.com/)
08:53:37	74877/74877	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:37%20GMT	https://www.beginnings.com/personal/deposit-accounts/checking	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/checking.html	(from https://www.beginnings.com/)
08:53:37	68656/68656	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:38%20GMT	https://www.beginnings.com/personal/deposit-accounts/savings	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/savings.html	(from https://www.beginnings.com/)
08:53:37	64770/64770	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:38%20GMT	https://www.beginnings.com/personal/deposit-accounts/certificates	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/certificates.html	(from https://www.beginnings.com/)
08:53:37	62817/62817	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:38%20GMT	https://www.beginnings.com/personal/deposit-accounts/lucky-savers	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/lucky-savers.html	(from https://www.beginnings.com/)
08:53:37	58619/58619	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:38%20GMT	https://www.beginnings.com/personal/deposit-accounts/money-market	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/money-market.html	(from https://www.beginnings.com/)
08:53:38	60263/60263	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:38%20GMT	https://www.beginnings.com/personal/deposit-accounts/iras	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/iras.html	(from https://www.beginnings.com/)
08:53:38	61815/61815	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:39%20GMT	https://www.beginnings.com/personal/deposit-accounts/banking-for-college-students	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/banking-for-college-students.html	(from https://www.beginnings.com/)
08:53:38	62483/62483	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:39%20GMT	https://www.beginnings.com/personal/deposit-accounts/uchoose-rewards	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/deposit-accounts/uchoose-rewards.html	(from https://www.beginnings.com/)
08:53:38	63128/63128	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:39%20GMT	https://www.beginnings.com/personal/loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans.html	(from https://www.beginnings.com/)
08:53:38	63128/63128	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:39%20GMT	https://www.beginnings.com/personal/loans/personal-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans/personal-loans.html	(from https://www.beginnings.com/)
08:53:39	67662/67662	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:40%20GMT	https://www.beginnings.com/personal/loans/rewards-credit-cards	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans/rewards-credit-cards.html	(from https://www.beginnings.com/)
08:53:39	73113/73113	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:40%20GMT	https://www.beginnings.com/personal/loans/auto-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans/auto-loans.html	(from https://www.beginnings.com/)
08:53:39	65505/65505	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:40%20GMT	https://www.beginnings.com/personal/loans/boat-rv-and-recreation	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans/boat-rv-and-recreation.html	(from https://www.beginnings.com/)
08:53:39	57640/57640	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:40%20GMT	https://www.beginnings.com/personal/loans/other-loan-options	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans/other-loan-options.html	(from https://www.beginnings.com/)
08:53:40	63130/63130	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:40%20GMT	https://www.beginnings.com/personal/loans/green-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/loans/green-loans.html	(from https://www.beginnings.com/)
08:53:40	74666/74666	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:41%20GMT	https://www.beginnings.com/personal/home-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans.html	(from https://www.beginnings.com/)
08:53:40	74666/74666	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:41%20GMT	https://www.beginnings.com/personal/home-loans/mortgage-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/mortgage-loans.html	(from https://www.beginnings.com/)
08:53:40	68620/68620	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:41%20GMT	https://www.beginnings.com/personal/home-loans/mortgage-refinance	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/mortgage-refinance.html	(from https://www.beginnings.com/)
08:53:40	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:41%20GMT	https://www.beginnings.com/personal/home-loans/land-loans-	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/land-loans-	(from https://www.beginnings.com/)
08:53:41	57931/57931	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:41%20GMT	https://www.beginnings.com/personal/home-loans/land-and-construction-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/land-and-construction-loans.html	(from https://www.beginnings.com/)
08:53:41	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:42%20GMT	https://www.beginnings.com/personal/home-loans/construction-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/construction-loans	(from https://www.beginnings.com/)
08:53:41	67326/67326	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:42%20GMT	https://www.beginnings.com/personal/home-loans/home-equity-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/home-equity-loans.html	(from https://www.beginnings.com/)
08:53:41	59084/59084	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:42%20GMT	https://www.beginnings.com/personal/home-loans/meet-the-mortgage-team	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/meet-the-mortgage-team.html	(from https://www.beginnings.com/)
08:53:41	144/144	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:42%20GMT	https://www.beginnings.com/personal/home-loans/green-lending-program	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/home-loans/green-lending-program	(from https://www.beginnings.com/)
08:53:42	66315/66315	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:42%20GMT	https://www.beginnings.com/personal/resources	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources.html	(from https://www.beginnings.com/)
08:53:42	75175/75175	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:43%20GMT	https://www.beginnings.com/personal/resources/digital-banking	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/digital-banking.html	(from https://www.beginnings.com/)
08:53:42	64352/64352	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:43%20GMT	https://www.beginnings.com/personal/resources/join-beginnings-credit-union	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/join-beginnings-credit-union.html	(from https://www.beginnings.com/)
08:53:42	59230/59230	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:43%20GMT	https://www.beginnings.com/personal/resources/make-a-loan-payment	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/make-a-loan-payment.html	(from https://www.beginnings.com/)
08:53:43	56155/56155	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:43%20GMT	https://www.beginnings.com/personal/resources/skip-a-loan-payment	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/skip-a-loan-payment.html	(from https://www.beginnings.com/)
08:53:43	71046/71046	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:44%20GMT	https://www.beginnings.com/personal/resources/security-and-fraud	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/security-and-fraud.html	(from https://www.beginnings.com/)
08:53:43	52797/52797	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:44%20GMT	https://www.beginnings.com/personal/resources/calculators	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/calculators.html	(from https://www.beginnings.com/)
08:53:43	53354/53354	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:44%20GMT	https://www.beginnings.com/personal/resources/wire-transfers	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/wire-transfers.html	(from https://www.beginnings.com/)
08:53:43	56533/56533	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:44%20GMT	https://www.beginnings.com/personal/resources/prepare-for-travel	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/prepare-for-travel.html	(from https://www.beginnings.com/)
08:53:44	136/136	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:44%20GMT	https://www.beginnings.com/personal/resources/member-forms	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/member-forms	(from https://www.beginnings.com/)
08:53:44	65176/65176	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:45%20GMT	https://www.beginnings.com/other/member-forms	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/other/member-forms.html	(from https://www.beginnings.com/)
08:53:44	53264/53264	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:45%20GMT	https://www.beginnings.com/personal/resources/deceased-member-booklet	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/deceased-member-booklet.html	(from https://www.beginnings.com/)
08:53:44	66872/66872	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:45%20GMT	https://www.beginnings.com/business/deposit-accounts	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/deposit-accounts.html	(from https://www.beginnings.com/)
08:53:44	66872/66872	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:45%20GMT	https://www.beginnings.com/business/deposit-accounts/business-checking	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/deposit-accounts/business-checking.html	(from https://www.beginnings.com/)
08:53:45	59947/59947	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:46%20GMT	https://www.beginnings.com/business/deposit-accounts/business-savings	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/deposit-accounts/business-savings.html	(from https://www.beginnings.com/)
08:53:45	56230/56230	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:46%20GMT	https://www.beginnings.com/business/deposit-accounts/business-money-market	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/deposit-accounts/business-money-market.html	(from https://www.beginnings.com/)
08:53:45	56387/56387	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:46%20GMT	https://www.beginnings.com/business/deposit-accounts/business-certificates	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/deposit-accounts/business-certificates.html	(from https://www.beginnings.com/)
08:53:45	55365/55365	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:46%20GMT	https://www.beginnings.com/business/deposit-accounts/custodial-escrow-accounts	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/deposit-accounts/custodial-escrow-accounts.html	(from https://www.beginnings.com/)
08:53:46	65357/65357	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:46%20GMT	https://www.beginnings.com/business/business-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/business-loans.html	(from https://www.beginnings.com/)
08:53:46	65357/65357	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:47%20GMT	https://www.beginnings.com/business/business-loans/business-rewards-credit-card	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/business-loans/business-rewards-credit-card.html	(from https://www.beginnings.com/)
08:53:46	57399/57399	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:47%20GMT	https://www.beginnings.com/business/business-loans/business-term-loans-and-lines-of-credit	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/business-loans/business-term-loans-and-lines-of-credit.html	(from https://www.beginnings.com/)
08:53:46	54205/54205	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:47%20GMT	https://www.beginnings.com/business/business-loans/overdraft-loan-protection	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/business-loans/overdraft-loan-protection.html	(from https://www.beginnings.com/)
08:53:46	61032/61032	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:47%20GMT	https://www.beginnings.com/business/commercial-real-estate-loans	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/commercial-real-estate-loans.html	(from https://www.beginnings.com/)
08:53:47	61032/61032	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:47%20GMT	https://www.beginnings.com/business/commercial-real-estate-loans/commercial-mortgages	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/commercial-real-estate-loans/commercial-mortgages.html	(from https://www.beginnings.com/)
08:53:47	176/176	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:48%20GMT	https://www.beginnings.com/business/commercial-real-estate-loans/commercial-mortgage-refinance	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/commercial-real-estate-loans/commercial-mortgage-refinance	(from https://www.beginnings.com/)
08:53:47	55816/55816	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:48%20GMT	https://www.beginnings.com/business/commercial-real-estate-loans/real-estate-secured-line-of-credit	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/commercial-real-estate-loans/real-estate-secured-line-of-credit.html	(from https://www.beginnings.com/)
08:53:47	58341/58341	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:48%20GMT	https://www.beginnings.com/business/resources	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/resources.html	(from https://www.beginnings.com/)
08:53:48	58341/58341	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:48%20GMT	https://www.beginnings.com/business/resources/meet-the-business-team	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/resources/meet-the-business-team.html	(from https://www.beginnings.com/)
08:53:48	53845/53845	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:49%20GMT	https://www.beginnings.com/business/resources/merchant-services	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/resources/merchant-services.html	(from https://www.beginnings.com/)
08:53:48	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:49%20GMT	https://www.beginnings.com/business/resources/about-digital-mobile-banking	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/resources/about-digital-mobile-banking	(from https://www.beginnings.com/)
08:53:48	66315/66315	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:49%20GMT	https://www.beginnings.com/personal/resources/about-digital-mobile-banking	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/personal/resources/about-digital-mobile-banking.html	(from https://www.beginnings.com/)
08:53:48	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:49%20GMT	https://www.beginnings.com/business/resources/join-cfcu	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/business/resources/join-cfcu	(from https://www.beginnings.com/)
08:53:49	55609/55609	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:49%20GMT	https://www.beginnings.com/about-us/resources	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/about-us/resources.html	(from https://www.beginnings.com/)
08:53:49	55609/55609	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:50%20GMT	https://www.beginnings.com/about-us/resources/contact-us	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/about-us/resources/contact-us.html	(from https://www.beginnings.com/)
08:53:49	75715/75715	---M--	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2015:53:50%20GMT	https://www.beginnings.com/about-us/resources/find-a-branch-or-atm	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/about-us/resources/find-a-branch-or-atm.html	(from https://www.beginnings.com/)
08:53:49	152/152	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jul%202025%2015:53:50%20GMT	https://www.beginnings.com/about-us/resources/BeginningsDigitalMobileBanking	D:/GitHub/tuangiang1995.github.io/Beginnings/www.beginnings.com/about-us/resources/BeginningsDigitalMobileBanking	(from https://www.beginnings.com/)
